Station,MonthlyTotal1990,MonthlyTotal1995,MonthlyTotal2000,MonthlyTotal2005,MonthlyTotal2010,MonthlyTotal2013
Ambagan(Ctg),0,0,34,5,0,0
Ambagan(Ctg),0,0,10,0,9,1
Ambagan(Ctg),0,0,46,57,50,5
Ambagan(Ctg),0,0,119,121,50,58
Ambagan(Ctg),0,0,464,148,282,469
Ambagan(Ctg),0,0,622,233,916,504
Ambagan(Ctg),0,0,708,596,245,391
Ambagan(Ctg),0,0,564,654,392,243
Ambagan(Ctg),0,0,165,386,86,305
Ambagan(Ctg),0,0,488,100,301,403
Ambagan(Ctg),0,0,15,23,52,0
Ambagan(Ctg),0,0,0,8,22,0
Barisal,0,1,19,11,0,0
Barisal,79,62,16,0,1,6
Barisal,182,6,50,138,1,5
Barisal,139,12,135,26,10,64
Barisal,352,144,246,85,212,701
Barisal,386,657,286,326,481,277
Barisal,457,517,389,463,251,377
Barisal,299,342,203,302,156,398
Barisal,190,208,245,174,184,312
Barisal,194,156,171,415,275,181
Barisal,70,153,10,0,64,0
Barisal,30,0,0,3,27,0
Bhola,0,1,42,7,0,0
Bhola,84,52,8,0,0,9
Bhola,155,5,61,106,1,0
Bhola,118,50,126,63,10,28
Bhola,249,173,279,87,195,655
Bhola,358,531,416,181,401,270
Bhola,370,399,432,860,353,327
Bhola,287,281,233,460,91,477
Bhola,199,304,206,197,232,228
Bhola,322,60,139,397,442,200
Bhola,83,182,89,0,39,0
Bhola,35,0,0,8,8,0
Bogra,0,16,18,5,0,0
Bogra,27,18,37,9,0,22
Bogra,24,14,76,58,0,3
Bogra,41,0,158,72,29,0
Bogra,292,111,272,138,185,152
Bogra,378,462,250,130,286,204
Bogra,499,524,190,471,92,283
Bogra,265,438,289,328,225,256
Bogra,320,477,466,356,244,99
Bogra,227,117,84,523,190,200
Bogra,4,70,0,0,3,0
Bogra,0,1,0,1,20,0
Chandpur,0,2,25,7,0,0
Chandpur,36,25,15,0,23,3
Chandpur,111,0,58,122,3,15
Chandpur,163,51,160,91,17,135
Chandpur,189,177,470,115,191,670
Chandpur,311,352,288,31,541,497
Chandpur,421,430,293,344,233,225
Chandpur,177,488,214,318,204,331
Chandpur,208,239,73,149,229,502
Chandpur,263,77,188,360,134,167
Chandpur,55,184,1,0,6,0
Chandpur,22,0,0,2,15,0
Chittagong,0,0,17,0,0,0
Chittagong,39,12,0,0,8,0
Chittagong,53,18,16,0,40,3
Chittagong,250,51,108,0,46,58
Chittagong,205,268,748,0,346,773
Chittagong,668,359,643,0,747,513
Chittagong,1038,685,713,0,267,405
Chittagong,115,546,689,0,516,267
Chittagong,141,129,138,0,116,173
Chittagong,233,53,416,0,294,369
Chittagong,74,323,15,0,38,0
Chittagong,36,0,0,0,19,0
chuadanga,0,15,8,5,0,3
chuadanga,0,36,70,2,5,12
chuadanga,0,2,19,112,0,1
chuadanga,0,1,47,22,6,32
chuadanga,94,78,309,57,170,260
chuadanga,211,303,103,109,159,156
chuadanga,431,246,527,281,105,169
chuadanga,139,300,126,165,80,202
chuadanga,366,456,489,153,199,122
chuadanga,155,0,103,572,71,208
chuadanga,55,75,0,0,3,0
chuadanga,0,7,0,4,54,0
Comilla,0,0,45,6,0,0
Comilla,21,29,52,2,13,3
Comilla,179,12,121,249,30,30
Comilla,228,114,212,157,23,28
Comilla,331,318,554,193,343,467
Comilla,333,329,295,259,417,214
Comilla,303,529,182,403,94,276
Comilla,252,452,319,410,125,243
Comilla,227,124,106,395,241,255
Comilla,73,48,155,349,277,124
Comilla,71,147,3,0,0,0
Comilla,27,0,0,1,15,3
Cox's Bazar,0,0,1,6,0,0
Cox's Bazar,69,3,2,0,0,0
Cox's Bazar,174,8,96,27,15,0
Cox's Bazar,135,24,65,113,12,54
Cox's Bazar,261,401,589,178,717,700
Cox's Bazar,1201,565,841,848,982,876
Cox's Bazar,1211,977,1300,608,496,772
Cox's Bazar,277,559,870,957,501,1000
Cox's Bazar,272,463,503,342,257,237
Cox's Bazar,294,46,424,257,375,420
Cox's Bazar,255,409,16,23,15,0
Cox's Bazar,19,0,0,25,68,0
Dhaka,0,8,13,1,0,0
Dhaka,36,31,44,3,48,8
Dhaka,151,0,172,155,22,26
Dhaka,154,88,189,91,37,32
Dhaka,202,264,471,291,177,378
Dhaka,229,237,165,259,308,325
Dhaka,567,354,197,542,167,302
Dhaka,227,360,359,361,340,212
Dhaka,247,205,216,514,169,172
Dhaka,181,91,278,417,174,131
Dhaka,103,112,0,3,0,0
Dhaka,6,1,0,0,81,4
Dinajpur,0,3,0,9,0,0
Dinajpur,6,12,30,15,0,10
Dinajpur,41,10,1,37,0,0
Dinajpur,159,0,147,89,84,99
Dinajpur,245,54,325,255,206,133
Dinajpur,355,287,399,474,515,370
Dinajpur,479,472,197,507,356,255
Dinajpur,251,593,195,597,290,469
Dinajpur,352,1026,196,222,107,182
Dinajpur,193,77,25,770,82,309
Dinajpur,0,74,0,0,1,0
Dinajpur,0,5,0,0,0,0
Faridpur,0,7,17,8,0,0
Faridpur,36,8,57,7,6,12
Faridpur,227,0,31,136,0,12
Faridpur,156,45,169,13,12,55
Faridpur,315,281,398,68,142,380
Faridpur,289,395,128,233,367,291
Faridpur,405,507,153,384,215,198
Faridpur,145,366,345,276,209,264
Faridpur,192,256,399,167,195,225
Faridpur,168,42,255,357,189,202
Faridpur,48,97,0,0,12,0
Faridpur,4,2,0,1,62,0
Feni,0,1,34,11,0,0
Feni,31,61,10,0,36,3
Feni,287,54,195,0,6,26
Feni,213,87,178,188,62,17
Feni,485,424,520,331,338,533
Feni,545,639,594,292,728,493
Feni,972,620,718,784,444,382
Feni,543,549,756,615,348,468
Feni,271,319,376,279,321,373
Feni,179,33,210,346,121,193
Feni,178,222,60,22,20,0
Feni,62,0,0,0,23,0
Hatiya,0,0,40,0,0,0
Hatiya,69,0,6,0,1,4
Hatiya,198,0,11,84,5,0
Hatiya,209,0,105,145,18,50
Hatiya,323,0,686,85,370,842
Hatiya,466,0,530,420,911,592
Hatiya,281,0,694,872,776,544
Hatiya,0,0,415,1311,371,677
Hatiya,0,0,422,275,431,435
Hatiya,0,0,369,608,166,292
Hatiya,88,0,15,5,0,0
Hatiya,78,0,0,9,3,0
Ishurdi,0,8,8,14,0,1
Ishurdi,70,24,61,3,4,14
Ishurdi,128,20,20,75,0,0
Ishurdi,157,1,206,13,46,69
Ishurdi,207,105,233,89,100,182
Ishurdi,277,215,212,199,163,264
Ishurdi,422,224,241,378,174,130
Ishurdi,235,307,147,246,127,218
Ishurdi,481,345,551,137,109,121
Ishurdi,88,8,129,664,105,130
Ishurdi,34,70,0,0,3,0
Ishurdi,0,3,0,1,63,0
Jessore,0,17,1,33,0,6
Jessore,54,25,19,16,8,15
Jessore,173,18,7,129,11,8
Jessore,25,5,74,31,37,63
Jessore,162,88,164,59,264,278
Jessore,335,196,209,141,329,203
Jessore,369,279,486,546,155,249
Jessore,137,288,239,115,232,309
Jessore,196,270,467,194,186,322
Jessore,99,95,145,412,122,223
Jessore,126,113,0,2,4,0
Jessore,10,3,0,0,32,0
Khepupara,0,0,26,95,0,0
Khepupara,121,14,13,0,17,1
Khepupara,139,1,2,93,0,0
Khepupara,99,6,109,6,5,0
Khepupara,284,643,526,166,371,727
Khepupara,317,546,419,473,681,395
Khepupara,1049,784,670,1000,340,640
Khepupara,299,397,411,489,279,403
Khepupara,503,338,360,475,237,536
Khepupara,262,120,259,534,604,418
Khepupara,98,508,19,1,29,0
Khepupara,40,0,0,16,5,0
Khulna,0,8,4,15,0,1
Khulna,62,112,16,0,2,7
Khulna,212,34,18,148,14,19
Khulna,58,18,100,43,21,62
Khulna,261,182,145,215,146,430
Khulna,261,306,217,102,287,212
Khulna,436,356,410,435,180,313
Khulna,206,504,294,194,205,482
Khulna,205,278,336,410,157,278
Khulna,156,86,216,420,181,260
Khulna,77,162,0,0,0,0
Khulna,4,0,0,0,13,0
Kutubdia,0,0,10,4,0,0
Kutubdia,56,0,3,0,2,1
Kutubdia,191,46,43,102,10,0
Kutubdia,60,35,84,139,4,85
Kutubdia,206,399,446,218,464,1088
Kutubdia,995,583,691,433,666,1058
Kutubdia,1179,809,792,507,517,818
Kutubdia,137,387,659,853,466,642
Kutubdia,167,286,85,251,120,296
Kutubdia,250,70,321,189,403,215
Kutubdia,139,433,4,16,0,0
Kutubdia,41,0,0,15,50,0
M.court,0,0,40,25,0,0
M.court,83,19,13,0,2,8
M.court,266,84,35,153,2,4
M.court,235,149,142,67,12,65
M.court,429,265,542,214,293,671
M.court,651,375,568,463,933,658
M.court,752,737,629,724,409,482
M.court,522,651,393,626,500,583
M.court,239,491,248,226,301,355
M.court,359,63,155,332,125,218
M.court,99,238,43,0,10,0
M.court,49,0,0,3,19,0
Madaripur,0,6,16,0,1,0
Madaripur,66,32,46,0,2,6
Madaripur,217,0,5,61,11,15
Madaripur,156,72,212,21,45,29
Madaripur,214,213,341,114,167,751
Madaripur,253,601,182,183,300,199
Madaripur,457,346,259,556,289,309
Madaripur,176,508,321,333,95,274
Madaripur,264,225,214,164,142,365
Madaripur,210,87,321,371,127,200
Madaripur,105,99,0,1,2,4
Madaripur,9,0,0,1,5,0
Mongla,0,4,28,28,0,0
Mongla,0,70,9,0,0,5
Mongla,0,11,15,93,0,2
Mongla,0,9,134,25,19,28
Mongla,0,208,283,238,143,359
Mongla,0,304,309,342,350,244
Mongla,0,244,356,633,204,401
Mongla,0,268,209,264,265,287
Mongla,0,302,327,391,263,219
Mongla,0,148,124,390,324,286
Mongla,0,229,5,1,94,0
Mongla,0,0,0,1,11,0
Mymensingh,0,10,18,3,0,0
Mymensingh,83,19,20,27,4,18
Mymensingh,67,29,74,77,16,21
Mymensingh,116,81,318,142,123,69
Mymensingh,390,285,462,495,337,308
Mymensingh,529,565,463,255,384,267
Mymensingh,369,682,150,405,458,318
Mymensingh,237,528,257,514,368,343
Mymensingh,319,230,385,360,211,132
Mymensingh,80,115,170,394,148,263
Mymensingh,7,101,0,0,4,0
Mymensingh,1,0,0,0,42,0
Patuakhali,0,5,26,22,0,1
Patuakhali,100,60,8,0,13,4
Patuakhali,161,8,15,139,0,0
Patuakhali,132,41,133,45,8,27
Patuakhali,292,279,212,109,219,637
Patuakhali,306,744,282,220,513,333
Patuakhali,602,682,497,923,418,552
Patuakhali,220,428,300,391,200,411
Patuakhali,536,317,330,274,223,412
Patuakhali,318,136,232,573,548,281
Patuakhali,81,251,95,0,19,0
Patuakhali,28,0,0,7,6,0
Rajshahi,0,17,4,14,0,0
Rajshahi,34,31,47,1,2,22
Rajshahi,46,9,27,104,2,12
Rajshahi,97,8,136,27,37,51
Rajshahi,301,91,198,108,75,188
Rajshahi,263,291,244,92,211,178
Rajshahi,464,287,115,492,94,101
Rajshahi,238,270,190,161,101,254
Rajshahi,180,370,644,131,101,238
Rajshahi,127,13,85,275,127,204
Rajshahi,17,44,0,0,3,0
Rajshahi,0,1,0,0,39,0
Rangamati,0,1,41,2,0,0
Rangamati,22,7,1,0,9,2
Rangamati,115,27,112,74,121,2
Rangamati,336,44,210,199,112,83
Rangamati,365,490,698,238,424,435
Rangamati,388,339,565,185,653,280
Rangamati,659,607,207,274,304,274
Rangamati,176,351,534,644,496,200
Rangamati,197,171,164,323,183,476
Rangamati,129,146,357,125,281,198
Rangamati,91,220,45,53,45,0
Rangamati,54,0,0,7,17,0
Rangpur,1,3,1,11,0,0
Rangpur,57,3,15,9,0,14
Rangpur,82,4,3,61,0,4
Rangpur,134,1,283,93,169,115
Rangpur,354,158,416,271,237,383
Rangpur,393,369,438,428,650,327
Rangpur,306,568,166,671,346,296
Rangpur,396,388,232,400,240,268
Rangpur,439,804,172,328,332,229
Rangpur,224,51,19,581,122,280
Rangpur,0,109,0,0,4,0
Rangpur,0,3,0,0,2,0
Sandwip,0,0,106,7,0,0
Sandwip,54,65,2,0,35,0
Sandwip,196,74,95,115,27,0
Sandwip,213,37,57,78,26,52
Sandwip,255,255,804,278,279,570
Sandwip,561,381,501,444,949,560
Sandwip,1007,620,1204,554,759,441
Sandwip,359,143,489,782,793,746
Sandwip,412,186,346,258,283,451
Sandwip,233,148,384,462,337,241
Sandwip,47,325,28,81,4,0
Sandwip,48,0,0,8,17,0
Satkhira,0,13,20,6,0,5
Satkhira,47,42,32,0,3,12
Satkhira,150,50,10,120,1,37
Satkhira,25,1,180,28,25,29
Satkhira,176,82,194,80,214,310
Satkhira,212,351,218,261,318,245
Satkhira,528,440,403,497,269,266
Satkhira,279,232,317,158,155,215
Satkhira,292,336,486,338,202,296
Satkhira,168,57,142,484,92,247
Satkhira,44,161,0,0,1,0
Satkhira,7,0,0,10,15,0
Sitakunda,0,3,46,5,0,0
Sitakunda,55,11,1,0,1,0
Sitakunda,273,36,56,77,37,13
Sitakunda,300,98,90,158,71,57
Sitakunda,245,275,902,256,314,470
Sitakunda,654,503,494,247,876,569
Sitakunda,957,572,713,541,377,333
Sitakunda,203,414,671,1081,473,390
Sitakunda,268,182,231,348,421,496
Sitakunda,447,85,226,312,289,269
Sitakunda,75,280,26,0,4,1
Sitakunda,52,0,0,5,5,0
Srimangal,0,4,49,0,0,0
Srimangal,20,32,31,71,0,9
Srimangal,185,47,224,162,48,31
Srimangal,253,80,318,155,228,104
Srimangal,494,238,823,615,560,681
Srimangal,356,569,464,294,440,301
Srimangal,203,300,189,330,217,294
Srimangal,345,433,490,268,311,420
Srimangal,359,214,273,320,229,241
Srimangal,235,116,298,159,63,159
Srimangal,54,80,2,0,1,5
Srimangal,7,0,0,1,53,5
sydpur,0,5,0,13,0,0
sydpur,0,11,1,6,0,14
sydpur,0,3,2,51,0,3
sydpur,0,0,219,57,131,58
sydpur,0,46,303,147,202,206
sydpur,0,576,368,505,642,310
sydpur,0,431,138,637,288,245
sydpur,0,325,206,516,263,388
sydpur,0,890,201,158,259,161
sydpur,0,80,27,560,163,337
sydpur,0,81,1,0,2,0
sydpur,0,4,0,0,1,0
Sylhet,2,10,48,0,0,0
Sylhet,45,29,3,48,1,7
Sylhet,176,80,119,388,147,16
Sylhet,574,176,500,296,804,229
Sylhet,546,327,670,895,728,959
Sylhet,551,941,1120,354,946,520
Sylhet,487,874,330,978,528,567
Sylhet,582,832,981,626,767,520
Sylhet,1023,423,733,319,732,347
Sylhet,216,79,188,259,92,451
Sylhet,40,102,0,0,10,0
Sylhet,3,0,0,0,45,0
Tangail,0,12,25,4,0,0
Tangail,30,56,29,8,3,13
Tangail,95,9,59,58,69,3
Tangail,223,34,220,44,46,60
Tangail,128,215,305,232,328,293
Tangail,224,350,390,135,430,213
Tangail,327,372,92,331,126,106
Tangail,236,356,152,264,207,238
Tangail,156,246,368,381,157,126
Tangail,120,109,152,556,319,128
Tangail,39,92,0,4,3,0
Tangail,2,1,0,0,62,2
Teknaf,0,0,2,0,0,0
Teknaf,4,3,0,0,0,0
Teknaf,1,1,0,10,33,0
Teknaf,72,63,27,77,8,34
Teknaf,203,278,600,113,492,753
Teknaf,1279,1123,1091,1023,1089,821
Teknaf,946,1220,1457,953,881,1127
Teknaf,575,622,1008,1148,551,851
Teknaf,293,563,363,273,400,329
Teknaf,107,47,422,113,602,271
Teknaf,101,365,17,14,15,0
Teknaf,15,0,0,60,193,0
